Term,LoanStatus,BorrowerAPR,ProsperScore,ListingCategory (numeric),BorrowerState,EmploymentStatus,IncomeRange,LoanOriginalAmount
36,FinalPaymentInProgress,0.33553,8.0,1,NC,Employed,"$50,000-74,999",2500
36,Completed,0.19914,,0,,Not available,Not displayed,2000
36,Current,0.34577,5.0,1,OK,Employed,"$25,000-49,999",4000
36,Current,0.32446,2.0,1,UT,Employed,"$75,000-99,999",4000
36,Current,0.35797,2.0,3,IL,Other,"$25,000-49,999",4000
36,Chargedoff,0.11696,,0,VA,Full-time,"$50,000-74,999",5000
36,Completed,0.19236,5.0,7,OH,Employed,"$50,000-74,999",3800
36,Completed,0.35643,4.0,3,MA,Self-employed,"$50,000-74,999",4000
36,Completed,0.25424,5.0,2,OH,Employed,"$75,000-99,999",5800
60,Completed,0.13084,10.0,7,FL,Employed,"$50,000-74,999",8000
36,Current,0.09837,10.0,1,OH,Employed,"$100,000+",15000
60,Current,0.16969,8.0,1,MA,Employed,"$75,000-99,999",17500
36,Current,0.21434,8.0,1,TN,Employed,"$25,000-49,999",3200
36,Current,0.29486,7.0,1,SD,Employed,"$25,000-49,999",2000
36,Completed,0.14132,,1,CA,Full-time,"$100,000+",3750
60,Current,0.23318,8.0,1,PA,Employed,"$25,000-49,999",2000
60,Current,0.14453,8.0,2,CA,Employed,"$100,000+",17000
60,Current,0.17839,8.0,1,MA,Employed,"$75,000-99,999",23000
36,Completed,0.35797,2.0,1,NC,Employed,"$1-24,999",3000
60,Current,0.1417,6.0,1,NC,Employed,"$100,000+",20000
36,Current,0.33215,4.0,1,MI,Employed,"$25,000-49,999",4000
36,Current,0.19859,4.0,1,LA,Employed,"$25,000-49,999",15000
36,Completed,0.15191,,0,,Full-time,"$25,000-49,999",3000
36,Current,0.17359,8.0,1,CA,Employed,"$75,000-99,999",10000
36,Current,0.32446,2.0,1,LA,Employed,"$25,000-49,999",4000
36,Completed,0.13138,10.0,3,CA,Employed,"$100,000+",34000
36,Completed,0.19196,,1,UT,Full-time,"$25,000-49,999",3000
36,Current,0.13301,8.0,1,TX,Employed,"$100,000+",20000
36,Current,0.35356,3.0,1,NC,Employed,"$1-24,999",2500
36,Current,0.0893,8.0,1,OH,Employed,"$100,000+",15000
36,Defaulted,0.35797,5.0,13,CA,Not employed,Not employed,3000
36,Chargedoff,0.33286,6.0,2,MI,Employed,"$50,000-74,999",2000
60,Current,0.2004,7.0,15,NY,Employed,"$50,000-74,999",10000
36,Defaulted,0.32538,3.0,1,AL,Employed,"$25,000-49,999",4000
36,Completed,0.202,8.0,7,WI,Employed,"$25,000-49,999",2000
60,Completed,0.18408,8.0,7,HI,Employed,"$100,000+",8000
36,Current,0.21372,8.0,7,CA,Employed,"$75,000-99,999",3900
36,Current,0.32446,2.0,1,CO,Employed,"$100,000+",3000
36,Completed,0.31053,8.0,3,NY,Employed,"$25,000-49,999",7500
36,Completed,0.12427,8.0,1,VA,Employed,"$50,000-74,999",7000
36,Chargedoff,0.37453,,1,GA,Full-time,"$50,000-74,999",4000
60,Current,0.19988,6.0,1,WI,Employed,"$75,000-99,999",8000
36,Completed,0.23498,,0,MO,Full-time,"$1-24,999",2500
36,Completed,0.10692,,0,ID,Not available,Not displayed,2500
36,Current,0.19645,8.0,18,MD,Employed,"$100,000+",6000
36,Completed,0.22744,,0,,Full-time,"$75,000-99,999",2500
36,Defaulted,0.15893,,0,,,Not displayed,2000
60,Completed,0.30111,3.0,1,OR,Employed,"$100,000+",8000
36,Current,0.13697,10.0,6,WV,Employed,"$50,000-74,999",4000
36,Current,0.18671,7.0,13,CT,Employed,"$100,000+",15000
60,Current,0.20081,6.0,1,CO,Employed,"$75,000-99,999",25000
12,Completed,0.24369,6.0,20,GA,Employed,"$75,000-99,999",15000
36,Chargedoff,0.37453,7.0,7,MO,Full-time,"$25,000-49,999",3000
60,Current,0.2214,4.0,1,VA,Employed,"$75,000-99,999",9000
36,Chargedoff,0.20725,,0,CA,Full-time,"$100,000+",19000
60,Current,0.23872,4.0,1,WI,Employed,"$25,000-49,999",10000
36,Completed,0.10846,9.0,1,MD,Full-time,"$50,000-74,999",10000
36,Completed,0.31053,7.0,1,NC,Full-time,"$50,000-74,999",4000
60,Current,0.19988,6.0,1,MD,Employed,"$25,000-49,999",10000
60,Current,0.2968,3.0,1,MO,Employed,"$1-24,999",15000
36,Current,0.10375,8.0,1,GA,Employed,"$25,000-49,999",7000
36,Completed,0.09844,10.0,2,CA,Retired,"$25,000-49,999",2000
36,Completed,0.11214,,1,GA,Full-time,"$25,000-49,999",7700
36,Current,0.34887,2.0,1,GA,Employed,"$25,000-49,999",4000
36,Current,0.14446,8.0,1,CT,Employed,"$100,000+",8000
36,Completed,0.19361,,0,CA,Part-time,"$1-24,999",5000
36,Current,0.35797,5.0,7,OH,Employed,"$75,000-99,999",3000
60,Current,0.14453,8.0,20,TX,Employed,"$50,000-74,999",15000
60,Current,0.23462,5.0,15,IN,Employed,"$75,000-99,999",15000
36,Completed,0.13837,,3,TX,Full-time,"$25,000-49,999",3000
60,Current,0.24302,4.0,1,PA,Employed,"$100,000+",8000
36,Defaulted,0.1544,,0,MI,Full-time,"$1-24,999",2000
36,Current,0.17359,9.0,14,TX,Employed,"$25,000-49,999",10000
36,Current,0.14714,9.0,1,CT,Employed,"$100,000+",12000
60,Current,0.24754,3.0,1,CA,Employed,"$75,000-99,999",15000
36,Chargedoff,0.35797,5.0,1,GA,Employed,"$25,000-49,999",4000
36,Current,0.21945,5.0,7,TN,Employed,"$50,000-74,999",3895
36,Completed,0.12309,9.0,1,AR,Full-time,"$50,000-74,999",7500
36,Completed,0.25486,2.0,3,PA,Employed,"$50,000-74,999",3000
36,Current,0.18316,7.0,2,WA,Employed,"$50,000-74,999",5000
36,Chargedoff,0.33973,1.0,1,CO,Self-employed,"$100,000+",4000
36,Current,0.19386,5.0,1,WI,Employed,"$50,000-74,999",20000
36,Current,0.13189,9.0,1,NY,Employed,"$25,000-49,999",3000
36,Chargedoff,0.20735,,0,TX,Not available,Not displayed,12500
36,Completed,0.32436,2.0,1,OR,Employed,"$100,000+",4000
60,Completed,0.29341,4.0,1,WA,Employed,"$100,000+",4000
36,Completed,0.13453,,0,,Full-time,"$75,000-99,999",17000
12,Completed,0.06589,10.0,7,NY,Employed,"$100,000+",5000
36,Current,0.12528,9.0,1,MO,Employed,"$50,000-74,999",12000
36,Chargedoff,0.24507,,0,OR,Full-time,"$1-24,999",5000
36,Chargedoff,0.23498,,4,NY,Full-time,"$25,000-49,999",2500
36,Current,0.32488,2.0,1,CA,Self-employed,"$50,000-74,999",10000
36,Chargedoff,0.12866,,7,MO,Full-time,"$25,000-49,999",3000
60,Current,0.1476,11.0,1,IL,Employed,"$75,000-99,999",25000
60,Current,0.16175,11.0,1,FL,Employed,"$50,000-74,999",15000
36,Completed,0.20666,,3,NJ,Full-time,"$50,000-74,999",5500
36,Completed,0.32538,2.0,1,WI,Employed,"$75,000-99,999",4000
36,Current,0.18313,4.0,14,NY,Employed,"$1-24,999",2000
36,Chargedoff,0.22744,,0,GA,Not available,Not displayed,3500
36,Completed,0.1726,,0,CA,Full-time,"$100,000+",25000
60,Current,0.15868,11.0,19,CO,Employed,"$25,000-49,999",2500
36,Chargedoff,0.20232,,0,,Not available,Not displayed,8500
36,Chargedoff,0.37453,,7,FL,Full-time,"$25,000-49,999",3000
36,Current,0.31032,4.0,1,CA,Employed,"$25,000-49,999",3000
36,Current,0.28339,2.0,2,FL,Employed,"$50,000-74,999",10000
36,Completed,0.09221,10.0,7,MO,Full-time,"$75,000-99,999",3000
60,Current,0.21345,6.0,1,NV,Employed,"$50,000-74,999",15000
36,Completed,0.12402,,0,VA,Full-time,"$25,000-49,999",4000
60,Current,0.17522,4.0,1,CA,Self-employed,"$50,000-74,999",10000
36,Completed,0.09516,,0,FL,Full-time,"$50,000-74,999",1000
36,Completed,0.08684,,2,OH,Retired,"$1-24,999",7000
36,Current,0.12691,9.0,1,FL,Employed,"$50,000-74,999",14000
36,Completed,0.11947,,0,CA,Not available,Not displayed,3000
36,Completed,0.0837,,6,NH,Full-time,"$25,000-49,999",1800
36,Completed,0.2021,,3,DC,Full-time,"$50,000-74,999",6500
36,Completed,0.06327,10.0,1,OH,Employed,"$25,000-49,999",2000
60,Current,0.20593,3.0,1,FL,Employed,"$25,000-49,999",12000
36,Chargedoff,0.15629,,7,MN,Full-time,"$50,000-74,999",6500
36,Current,0.2353,3.0,1,CO,Employed,"$100,000+",13000
36,Current,0.32436,3.0,1,MO,Employed,"$25,000-49,999",4500
36,Current,0.35356,6.0,18,MS,Full-time,"$25,000-49,999",4000
36,Chargedoff,0.35805,,1,IL,Full-time,"$1-24,999",5000
60,Current,0.1325,7.0,1,VA,Self-employed,"$25,000-49,999",15000
36,Defaulted,0.31262,,4,IL,Full-time,"$25,000-49,999",1500
36,Completed,0.2148,,1,AL,Full-time,"$75,000-99,999",23000
36,Current,0.22712,4.0,8,MS,Employed,"$25,000-49,999",8000
60,Current,0.26128,4.0,2,MA,Employed,"$100,000+",4500
60,Completed,0.27462,6.0,14,CA,Employed,"$75,000-99,999",12000
36,Completed,0.0768,,2,NJ,Full-time,"$50,000-74,999",6500
36,Current,0.32538,2.0,1,FL,Employed,"$50,000-74,999",4000
12,Completed,0.16033,6.0,2,CA,Employed,"$50,000-74,999",10000
36,Current,0.30899,4.0,1,MN,Employed,"$25,000-49,999",4000
36,Defaulted,0.24213,,1,AL,Full-time,"$25,000-49,999",5000
36,Completed,0.12449,,0,MO,Full-time,"$25,000-49,999",4500
36,Current,0.14206,5.0,1,AL,Other,"$50,000-74,999",15000
36,Completed,0.18751,6.0,3,MI,Full-time,"$25,000-49,999",7000
36,Current,0.13734,7.0,1,OH,Employed,"$75,000-99,999",25000
60,Current,0.12992,8.0,1,NH,Employed,"$25,000-49,999",15000
36,Completed,0.21806,,0,,Not available,Not displayed,1000
36,Completed,0.10386,,2,RI,Full-time,"$50,000-74,999",3000
36,Current,0.2837,6.0,1,IN,Employed,"$1-24,999",2800
36,Current,0.18316,7.0,1,MO,Other,"$50,000-74,999",15000
36,Completed,0.14348,8.0,1,AR,Employed,"$50,000-74,999",12553
36,Current,0.12528,8.0,1,NY,Full-time,"$50,000-74,999",16000
60,Current,0.24589,5.0,1,NY,Employed,"$75,000-99,999",25000
36,Chargedoff,0.2837,5.0,1,AZ,Employed,"$25,000-49,999",12000
36,Current,0.16732,5.0,1,NY,Employed,"$100,000+",6500
60,Current,0.2214,4.0,1,VA,Employed,"$25,000-49,999",10000
36,Current,0.17359,7.0,7,IL,Employed,"$100,000+",5113
60,Current,0.15326,9.0,7,MN,Employed,"$75,000-99,999",15000
36,Current,0.22362,6.0,1,TN,Full-time,"$50,000-74,999",15000
36,Completed,0.11058,,0,,Not available,Not displayed,1500
36,Completed,0.09778,,6,CA,Full-time,"$25,000-49,999",6000
60,Current,0.18555,7.0,1,IL,Employed,"$50,000-74,999",15000
36,Current,0.2706,6.0,15,MI,Other,"$1-24,999",3000
60,Current,0.19364,7.0,1,OH,Employed,"$50,000-74,999",8000
36,Current,0.23939,6.0,1,OK,Employed,"$50,000-74,999",4000
60,Current,0.18555,7.0,1,KS,Employed,"$75,000-99,999",25000
36,Defaulted,0.15512,,0,MN,Full-time,"$75,000-99,999",19950
36,Current,0.124,8.0,1,NC,Employed,"$75,000-99,999",6500
36,Current,0.21434,4.0,3,NY,Self-employed,"$50,000-74,999",2500
36,Chargedoff,0.1973,,0,,Not available,Not displayed,6150
12,Completed,0.06589,10.0,1,CO,Employed,"$75,000-99,999",2000
36,Chargedoff,0.1973,,0,ID,Full-time,"$75,000-99,999",5000
36,Chargedoff,0.35643,4.0,7,NC,Employed,"$25,000-49,999",7500
36,Current,0.35797,5.0,3,WA,Self-employed,"$25,000-49,999",4000
36,Chargedoff,0.38723,2.0,1,GA,Full-time,"$50,000-74,999",3800
36,Current,0.202,8.0,1,TX,Employed,"$75,000-99,999",4000
36,Completed,0.10592,,0,MO,Full-time,"$25,000-49,999",3000
36,Current,0.1322,8.0,1,CA,Employed,"$75,000-99,999",15000
36,Completed,0.13119,9.0,1,NJ,Full-time,"$50,000-74,999",3500
36,Defaulted,0.14974,,3,NC,Full-time,"$25,000-49,999",10000
36,Completed,0.09837,10.0,16,MN,Employed,"$75,000-99,999",4000
36,Completed,0.09688,,0,MD,Not available,Not displayed,8000
60,Current,0.24282,6.0,1,MN,Employed,"$25,000-49,999",7500
36,Current,0.09469,11.0,7,AL,Employed,"$50,000-74,999",13000
36,Completed,0.14207,,0,,Not available,Not displayed,4000
36,Current,0.35797,1.0,1,AZ,Employed,"$50,000-74,999",4000
60,Current,0.15936,9.0,1,MD,Employed,"$100,000+",12000
36,Completed,0.22237,,5,IL,Full-time,"$50,000-74,999",2500
36,Completed,0.13915,,3,OK,Full-time,"$50,000-74,999",5000
36,Completed,0.09186,,0,VA,Self-employed,"$100,000+",5000
60,Current,0.22063,6.0,1,MN,Employed,"$50,000-74,999",8500
36,Completed,0.13705,,0,NJ,Full-time,"$75,000-99,999",3500
36,Defaulted,0.20735,,0,CA,,Not displayed,25000
36,Current,0.15324,4.0,1,AL,Employed,"$75,000-99,999",15000
60,Current,0.27462,7.0,3,MI,Employed,"$25,000-49,999",10000
36,Completed,0.08341,10.0,1,CO,Full-time,"$75,000-99,999",1500
60,Current,0.15629,6.0,1,WV,Employed,"$100,000+",13000
36,Current,0.09333,8.0,13,CA,Employed,"$50,000-74,999",11000
60,Current,0.2004,8.0,1,CA,Employed,"$50,000-74,999",15000
36,Current,0.14039,5.0,1,OR,Employed,"$100,000+",5000
36,Completed,0.20725,,0,IL,Not available,Not displayed,25000
12,Completed,0.22709,9.0,3,IL,Employed,"$100,000+",8000
60,Current,0.11695,10.0,3,MO,Employed,"$100,000+",25000
36,Current,0.15833,6.0,1,OK,Employed,"$25,000-49,999",7000
36,Completed,0.14187,,1,OR,Full-time,"$50,000-74,999",20000
36,Defaulted,0.25048,,0,WA,Not available,Not displayed,1800
36,Chargedoff,0.37453,,3,FL,Self-employed,"$75,000-99,999",6000
60,Current,0.20593,5.0,1,CT,Employed,"$25,000-49,999",15000
36,Completed,0.32246,,1,GA,Full-time,"$25,000-49,999",1500
36,Chargedoff,0.22368,,0,,Full-time,"$1-24,999",2550
36,Completed,0.15472,,0,,Full-time,"$50,000-74,999",3000
60,Current,0.15449,10.0,1,TX,Employed,"$100,000+",32500
60,Current,0.18197,7.0,1,NY,Employed,"$75,000-99,999",18500
36,Current,0.21342,5.0,1,TX,Employed,"$50,000-74,999",15000
60,Completed,0.17849,8.0,1,FL,Other,"$25,000-49,999",10000
12,Completed,0.0693,10.0,3,FL,Employed,"$50,000-74,999",3000
60,Current,0.1771,3.0,3,MA,Self-employed,"$50,000-74,999",15000
36,Current,0.17151,9.0,1,AL,Employed,"$100,000+",22500
36,Completed,0.28574,7.0,1,PA,Full-time,"$25,000-49,999",3000
60,Current,0.18852,4.0,1,HI,Employed,"$50,000-74,999",18000
36,Completed,0.35423,,1,NY,Part-time,"$25,000-49,999",7500
36,Completed,0.14923,,1,MN,Full-time,"$25,000-49,999",5500
36,Completed,0.27467,4.0,7,GA,Retired,"$1-24,999",2300
60,Current,0.18136,7.0,1,OH,Employed,"$50,000-74,999",10000
60,Past Due (31-60 days),0.23462,5.0,2,IL,Employed,"$75,000-99,999",15000
36,Completed,0.202,8.0,1,PA,Employed,"$100,000+",6000
36,Completed,0.31974,,1,CA,Full-time,"$75,000-99,999",3000
60,Current,0.20358,6.0,1,MD,Employed,"$100,000+",9000
36,Completed,0.13545,9.0,7,MO,Full-time,"$75,000-99,999",3000
36,Chargedoff,0.26526,,4,CA,Full-time,"$25,000-49,999",8000
60,Current,0.23293,6.0,1,WV,Other,"$1-24,999",3000
36,Chargedoff,0.19921,8.0,7,VA,Employed,"$100,000+",9000
36,Completed,0.26681,2.0,3,MO,Employed,$0,11500
36,Current,0.21434,8.0,1,TN,Employed,"$100,000+",2000
12,Completed,0.35843,4.0,7,CA,Employed,"$50,000-74,999",5000
60,Completed,0.17522,5.0,1,RI,Employed,"$100,000+",10500
36,Completed,0.12562,,1,VA,Full-time,"$75,000-99,999",7000
60,Current,0.18222,6.0,3,FL,Self-employed,"$50,000-74,999",15000
36,Completed,0.15488,,1,WI,Full-time,"$25,000-49,999",3000
36,Defaulted,0.19168,,0,GA,Full-time,"$25,000-49,999",13500
36,Current,0.29537,3.0,7,MA,Employed,"$25,000-49,999",9000
36,Completed,0.35285,4.0,1,SC,Employed,"$25,000-49,999",4000
36,Current,0.1899,3.0,15,NJ,Employed,"$50,000-74,999",20000
36,Current,0.25781,3.0,1,HI,Employed,"$25,000-49,999",2500
36,Current,0.25013,4.0,3,MN,Employed,"$100,000+",6000
36,Current,0.14751,6.0,1,CA,Employed,"$50,000-74,999",20000
36,Current,0.29363,4.0,1,PA,Employed,"$50,000-74,999",5000
36,Chargedoff,0.35797,4.0,2,GA,Other,"$25,000-49,999",4000
36,Completed,0.22362,6.0,1,GA,Full-time,"$25,000-49,999",6500
60,Current,0.18852,7.0,2,FL,Other,"$75,000-99,999",19000
36,Current,0.12528,6.0,1,AZ,Employed,"$50,000-74,999",7000
36,Current,0.31616,2.0,1,CA,Employed,"$50,000-74,999",2500
36,Current,0.1802,8.0,1,NJ,Employed,"$50,000-74,999",20000
36,Completed,0.24351,,0,,Not available,Not displayed,2900
36,Completed,0.12461,9.0,6,WA,Full-time,"$50,000-74,999",5750
36,Chargedoff,0.14709,,1,NJ,Full-time,"$75,000-99,999",20000
60,Past Due (16-30 days),0.19364,4.0,1,CO,Self-employed,"$50,000-74,999",10000
60,Defaulted,0.23718,8.0,14,KS,Employed,"$25,000-49,999",13000
36,Chargedoff,0.14709,,0,,Not available,Not displayed,10000
36,Completed,0.14973,,0,NJ,Full-time,"$25,000-49,999",1225
36,Completed,0.15781,,1,WI,Full-time,"$75,000-99,999",14555
36,Current,0.13524,9.0,1,AZ,Employed,"$100,000+",25000
36,Completed,0.29107,7.0,20,NY,Employed,"$1-24,999",5000
36,Current,0.12117,9.0,1,NC,Employed,"$100,000+",13000
36,Defaulted,0.30564,,0,CA,Full-time,"$50,000-74,999",3300
36,Chargedoff,0.15428,,4,GA,Full-time,"$25,000-49,999",10000
60,Current,0.19108,7.0,15,AZ,Employed,"$100,000+",5500
60,Current,0.14494,9.0,7,NY,Employed,"$100,000+",15000
36,Defaulted,0.37453,,3,AR,Self-employed,$0,2000
36,Current,0.2353,5.0,1,KS,Employed,"$50,000-74,999",10000
36,Current,0.09065,10.0,3,VA,Employed,"$100,000+",5000
36,Completed,0.23448,,4,GA,Full-time,"$75,000-99,999",3100
36,Current,0.27285,3.0,1,CA,Employed,"$25,000-49,999",10000
12,Completed,0.17878,5.0,2,CA,Employed,"$100,000+",24000
36,Completed,0.37178,9.0,2,TN,Employed,"$75,000-99,999",5500
60,Past Due (>120 days),0.29341,2.0,2,TN,Employed,"$50,000-74,999",4000
60,Current,0.29341,3.0,1,MS,Employed,"$25,000-49,999",10000
60,Completed,0.20593,3.0,2,MA,Employed,"$25,000-49,999",8500
60,Current,0.17522,8.0,1,IL,Employed,"$100,000+",35000
36,Completed,0.22287,9.0,5,CA,Full-time,"$50,000-74,999",3000
36,Chargedoff,0.35285,2.0,7,FL,Employed,"$25,000-49,999",3000
60,Current,0.12716,10.0,1,IL,Employed,"$50,000-74,999",10000
36,Completed,0.15296,9.0,1,NY,Employed,"$50,000-74,999",5000
36,Chargedoff,0.2951,6.0,1,TN,Employed,"$25,000-49,999",2000
36,Defaulted,0.25517,,0,WA,Full-time,"$25,000-49,999",1500
36,Chargedoff,0.19991,,0,IN,Full-time,"$25,000-49,999",4000
36,Completed,0.11328,,0,,Full-time,"$25,000-49,999",2100
60,Current,0.17685,8.0,1,NC,Employed,"$100,000+",25000
60,Current,0.19108,6.0,1,NC,Employed,"$100,000+",19000
36,Completed,0.24507,,1,CA,Full-time,"$50,000-74,999",17000
36,Current,0.18173,8.0,1,IL,Employed,"$50,000-74,999",15000
36,Current,0.202,9.0,7,MN,Employed,"$50,000-74,999",5000
36,Current,0.15833,8.0,1,NJ,Employed,"$25,000-49,999",3000
36,Chargedoff,0.35797,4.0,1,CA,Self-employed,"$1-24,999",3300
36,Current,0.19859,4.0,1,NJ,Employed,"$25,000-49,999",5000
36,Current,0.19859,5.0,6,HI,Employed,"$25,000-49,999",10000
36,Current,0.25781,3.0,1,TX,Employed,"$50,000-74,999",4000
60,Current,0.18136,7.0,1,MA,Employed,"$50,000-74,999",15000
36,Current,0.16361,3.0,1,AZ,Employed,"$25,000-49,999",10000
36,Current,0.21372,8.0,13,CO,Employed,"$100,000+",5500
60,Current,0.21935,4.0,1,IL,Employed,"$100,000+",25000
36,Chargedoff,0.18515,,0,FL,Not available,Not displayed,1200
36,Current,0.25013,5.0,1,MS,Employed,"$25,000-49,999",10000
36,Current,0.16324,7.0,1,MD,Employed,"$100,000+",25000
36,Completed,0.15549,9.0,1,GA,Full-time,"$100,000+",6000
60,Current,0.35838,6.0,15,FL,Employed,"$1-24,999",3500
36,Completed,0.20936,,0,,Full-time,"$75,000-99,999",5000
36,Current,0.22466,4.0,1,TX,Employed,"$50,000-74,999",15000
36,Current,0.29537,3.0,1,NY,Employed,"$50,000-74,999",15000
60,Current,0.19323,7.0,1,NY,Employed,"$50,000-74,999",15000
36,Completed,0.38166,5.0,7,TX,Part-time,"$1-24,999",1300
36,Completed,0.15377,,2,TN,Full-time,"$75,000-99,999",13000
60,Current,0.16993,6.0,1,IN,Employed,"$25,000-49,999",4000
36,Chargedoff,0.18201,,1,MD,Full-time,"$100,000+",6500
36,Current,0.09988,10.0,1,IN,Employed,"$100,000+",20000
36,Chargedoff,0.34887,1.0,2,CA,Full-time,"$50,000-74,999",4000
36,Current,0.14206,6.0,1,NY,Employed,"$50,000-74,999",8000
36,Completed,0.35797,4.0,3,CA,Employed,"$1-24,999",4000
36,Completed,0.24983,2.0,1,OR,Self-employed,"$50,000-74,999",15000
60,Current,0.14768,7.0,7,NJ,Employed,"$50,000-74,999",8530
36,Chargedoff,0.27184,,4,IL,Full-time,"$50,000-74,999",5000
60,Completed,0.20358,8.0,1,OK,Employed,"$50,000-74,999",15000
36,Current,0.32446,1.0,1,IL,Employed,"$75,000-99,999",4000
36,Completed,0.13705,,0,OR,Full-time,"$25,000-49,999",4000
36,Chargedoff,0.35797,5.0,2,PA,Employed,"$25,000-49,999",4000
36,Current,0.21945,5.0,1,CT,Employed,"$25,000-49,999",10000
36,Past Due (91-120 days),0.35356,3.0,1,FL,Employed,"$1-24,999",4000
36,Defaulted,0.35797,4.0,14,NC,Employed,"$1-24,999",4000
36,Defaulted,0.16416,,1,VA,Full-time,"$100,000+",15000
60,Current,0.22242,5.0,1,MI,Employed,"$25,000-49,999",10000
36,Current,0.29254,3.0,1,SC,Employed,"$50,000-74,999",10000
36,Current,0.35797,3.0,1,TX,Employed,"$25,000-49,999",2500
60,Chargedoff,0.28704,2.0,2,TN,Employed,"$25,000-49,999",15000
36,Completed,0.06485,,7,DC,Full-time,"$50,000-74,999",2000
36,Current,0.35797,4.0,3,TX,Employed,"$100,000+",3000
36,Current,0.35356,3.0,18,NY,Employed,"$50,000-74,999",4000
12,Completed,0.23717,3.0,1,TX,Self-employed,"$100,000+",4000
36,Completed,0.12309,8.0,1,OR,Full-time,"$100,000+",14500
36,Current,0.34621,5.0,1,FL,Employed,"$50,000-74,999",7500
60,Current,0.23318,8.0,1,CA,Employed,"$75,000-99,999",15000
36,Completed,0.29265,7.0,3,MA,Full-time,"$75,000-99,999",7500
36,Completed,0.12528,9.0,3,VT,Employed,"$50,000-74,999",22500
36,Current,0.15833,4.0,2,CA,Self-employed,"$25,000-49,999",3000
36,Current,0.0903,7.0,7,AR,Employed,"$100,000+",7000
60,Current,0.35838,6.0,3,VA,Employed,"$75,000-99,999",3000
36,Current,0.18275,7.0,1,IL,Employed,"$75,000-99,999",13000
36,Current,0.27776,3.0,7,MD,Employed,"$50,000-74,999",3000
36,Current,0.27776,3.0,15,AR,Employed,"$25,000-49,999",2000
36,Current,0.09837,10.0,1,CT,Employed,"$75,000-99,999",9500
60,Current,0.1858,5.0,7,NV,Employed,"$75,000-99,999",25000
36,Completed,0.23784,10.0,5,NE,Full-time,"$25,000-49,999",1000
60,Current,0.21474,5.0,1,MT,Employed,"$50,000-74,999",15000
60,Current,0.20593,3.0,3,MI,Employed,"$25,000-49,999",4000
60,Completed,0.3304,2.0,1,TX,Employed,"$100,000+",4000
60,Current,0.17522,7.0,1,CA,Employed,"$75,000-99,999",15000
36,Completed,0.17677,,3,OR,Full-time,"$50,000-74,999",8000
36,Current,0.35797,4.0,18,CT,Self-employed,"$100,000+",4000
36,Completed,0.27285,3.0,1,CA,Employed,"$75,000-99,999",15000
12,Completed,0.158,7.0,1,DC,Full-time,"$75,000-99,999",8800
60,Current,0.18136,5.0,1,TN,Employed,"$50,000-74,999",15000
36,Completed,0.10846,9.0,1,CA,Full-time,"$75,000-99,999",15000
60,Current,0.12992,9.0,1,KS,Employed,"$25,000-49,999",15000
60,Completed,0.2968,4.0,1,FL,Employed,"$50,000-74,999",4000
36,Completed,0.17621,,0,IL,Full-time,"$25,000-49,999",5000
36,Current,0.15538,8.0,1,MA,Employed,"$50,000-74,999",15000
36,Completed,0.13303,,0,,Full-time,"$25,000-49,999",5000
36,Current,0.2837,6.0,1,VA,Employed,"$100,000+",10000
36,Current,0.11766,8.0,1,CA,Employed,"$25,000-49,999",23000
36,Current,0.12081,7.0,1,WA,Employed,"$25,000-49,999",6900
36,Current,0.35643,5.0,1,MN,Employed,"$1-24,999",6000
60,Current,0.17061,7.0,13,FL,Employed,"$50,000-74,999",4000
60,Current,0.2004,6.0,1,SC,Employed,"$25,000-49,999",10000
36,Completed,0.20484,,0,,Not available,Not displayed,6000
36,Completed,0.16185,,0,,Part-time,"$1-24,999",7000
60,Current,0.18555,6.0,1,AR,Employed,"$100,000+",15000
36,Current,0.22415,4.0,1,OR,Employed,"$25,000-49,999",4000
36,Current,0.23233,4.0,1,VT,Employed,"$50,000-74,999",4000
36,Current,0.35797,4.0,2,NY,Employed,"$100,000+",4000
36,Defaulted,0.17677,,1,ID,Full-time,"$25,000-49,999",5000
36,Completed,0.16194,,0,TX,Not available,Not displayed,1500
60,Current,0.19681,6.0,1,NY,Employed,"$100,000+",24000
36,Current,0.13697,8.0,1,MA,Employed,"$50,000-74,999",20000
36,Current,0.12081,8.0,1,NC,Employed,"$75,000-99,999",5000
60,Current,0.19988,7.0,1,IL,Employed,"$75,000-99,999",13000
36,Current,0.18478,8.0,1,TX,Employed,"$75,000-99,999",5500
60,Completed,0.26877,2.0,1,MT,Employed,"$100,000+",10000
36,Completed,0.35797,4.0,1,GA,Employed,"$50,000-74,999",4000
36,Current,0.34588,3.0,1,OK,Employed,"$50,000-74,999",3000
36,Chargedoff,0.23195,,0,TX,Full-time,"$25,000-49,999",3500
36,Current,0.28032,5.0,3,TX,Employed,"$50,000-74,999",7000
12,Completed,0.22357,5.0,1,NJ,Employed,"$75,000-99,999",3370
36,Completed,0.38723,4.0,2,OH,Full-time,"$50,000-74,999",5000
36,Current,0.19645,4.0,13,WA,Employed,"$50,000-74,999",2000
36,Completed,0.05926,10.0,7,GA,Full-time,"$100,000+",1000
36,Past Due (1-15 days),0.29537,6.0,2,OH,Employed,"$25,000-49,999",3500
36,Current,0.22659,4.0,1,IL,Employed,"$75,000-99,999",15000
36,Current,0.16324,4.0,1,NV,Employed,"$25,000-49,999",5595
60,Current,0.17352,6.0,14,OH,Employed,"$50,000-74,999",10000
36,Current,0.09434,10.0,6,TX,Employed,"$50,000-74,999",4000
